Row,Column,Concentration_M,Log_Conc,RLU,RESP
A,4,3e-07,-6.522878745280337,958.0,-95.96362744947832
B,4,1e-07,-7.0,1705.0,-92.81626805987528
C,4,3.33e-08,-7.47755576649368,4733.0,-80.05829720081509
D,4,1.11e-08,-7.954677021213342,19215.0,-19.04081570117514
E,4,3.7e-09,-8.431798275933005,21608.0,-8.95831098990333
F,4,1.23e-09,-8.910094888560602,20211.0,-14.844336515037773
G,4,4.12e-10,-9.385102783966865,26269.0,10.680031868115023
H,4,1.37e-10,-9.863279432843592,24918.0,4.987819638725881
I,4,4.57e-11,-10.34008379993015,24182.0,1.8868069068010775
J,4,1.52e-11,-10.818156412055227,23386.0,-1.4670057760958564
K,4,5.07e-12,-11.294992040666664,24483.0,3.1550199941779336
A,5,3e-07,-6.522878745280337,1198.0,-94.9524276455898
B,5,1e-07,-7.0,1951.0,-91.77978826088955
C,5,3.33e-08,-7.47755576649368,5693.0,-76.013497985261
D,5,1.11e-08,-7.954677021213342,19302.0,-18.674255772265553
E,5,3.7e-09,-8.431798275933005,27372.0,15.327337633486026
F,5,1.23e-09,-8.910094888560602,22764.0,-4.087698601173612
G,5,4.12e-10,-9.385102783966865,22851.0,-3.7211386722640216
H,5,1.37e-10,-9.863279432843592,22905.0,-3.493618716389104
I,5,4.57e-11,-10.34008379993015,28309.0,19.275230201167467
J,5,1.52e-11,-10.818156412055227,27553.0,16.089950818918624
K,5,5.07e-12,-11.294992040666664,24790.0,4.448513076652002
A,6,3e-07,-6.522878745280337,1465.0,-93.82746786376381
B,6,1e-07,-7.0,2178.0,-90.82336177971165
C,6,3.33e-08,-7.47755576649368,6154.0,-74.07115169529179
D,6,1.11e-08,-7.954677021213342,20318.0,-14.393509935804138
E,6,3.7e-09,-8.431798275933005,24329.0,2.506166786682798
F,6,1.23e-09,-8.910094888560602,25533.0,7.579019136190221
G,6,4.12e-10,-9.385102783966865,23359.0,-1.5807657540333153
H,6,1.37e-10,-9.863279432843592,22671.0,-4.479538525180414
I,6,4.57e-11,-10.34008379993015,26717.0,12.567604835373599
J,6,1.52e-11,-10.818156412055227,28938.0,21.925416353858637
K,6,5.07e-12,-11.294992040666664,22296.0,-6.059538218756231
